Quadrilateral Vertex Index, Triangle Face Index, Barycentric Coordinates (u v w)
0, 25, 0.038473187283947996 0.7292446863444222 0.23228212637162982
1, 26, 0.7758207177860175 0.15161674737917974 0.07256253483480281
2, 9, 0.4676983287762835 0.18062915911211552 0.351672512111601
3, 50, 1.8191602299003073e-05 0.894618276215459 0.10536353218224202
4, 51, 0.5906041334492875 0.16748029125718356 0.24191557529352897
5, 36, 4.33508874383981e-06 0.8104365816921598 0.18955908321909634
6, 73, 0.35063106900790575 0.46916488032209547 0.18020405066999876
7, 74, 0.1956632233321426 0.16154491708915808 0.6427918595786993
8, 43, 0.4290985856192586 0.3570441235087785 0.21385729087196292
9, 63, 0.49140399785637356 0.1023081480979172 0.4062878540457092
10, 93, 0.11649986257872813 0.5011971300463754 0.3823030073748964
11, 138, 0.021418994832004323 0.8201730711221042 0.15840793404589143
12, 94, 0.0363208751950756 0.6453513211149084 0.31832780369001595
13, 86, 0.8510956604243722 0.12292105878778906 0.02598328078783877
14, 131, 0.36456798539067614 0.30298874483088156 0.3324432697784423
15, 103, 0.8081755147843996 0.14306978565456435 0.04875469956103591
16, 152, 0.46337171282498213 0.5142958763182672 0.02233241085675065
17, 170, 0.24102260273460013 0.39512829558409246 0.3638491016813074
18, 171, 0.06253705443371249 0.3855628338526566 0.5519001117136308
19, 178, 0.09782569066035873 0.6272801225572239 0.2748941867824174
20, 174, 0.26129096568650434 0.029780837260694 0.7089281970528016
21, 168, 0.22097778590244752 0.5724896419817534 0.20653257211579903
22, 116, 0.3281210405318371 0.15047549893266232 0.5214034605355006
23, 128, 0.07677862958371412 0.7954166355257293 0.1278047348905566
24, 84, 0.035863750607642575 0.381797880253982 0.5823383691383754
25, 85, 0.20644107835906916 0.632668401783677 0.16089051985725383
26, 72, 0.49056764924666785 0.1472450167527831 0.36218733400054903
27, 117, 0.10146370360148943 0.57875413426289 0.31978216213562055
28, 103, 0.1256901790251061 0.6030593067235769 0.271250514251317
29, 86, 0.27702105025594403 0.006175538018996743 0.7168034117250592
30, 138, 0.6803747439638569 0.18942095409253334 0.13020430194360974
31, 160, 0.5724323298186876 0.2223994527716677 0.2051682174096446
32, 126, 0.11750646321645253 0.09476797184620817 0.7877255649373393
33, 144, 0.046311584074509526 0.7897876441602195 0.16390077176527096
34, 102, 0.26246205471224426 0.5574353392460943 0.1801026060416614
35, 160, 0.08654727645032223 0.29612424637223844 0.6173284771774393
36, 149, 0.1596503206929662 0.6804905332023157 0.15985914610471813
37, 112, 0.280648598714069 0.28971626288617897 0.4296351383997521
38, 101, 0.8340091015260965 0.049207776709367324 0.11678312176453616
39, 100, 0.06453329505007756 0.8696660823571942 0.06580062259272822
40, 169, 0.25522105366436293 0.4706137752248307 0.27416517111080635
41, 172, 0.0651637945321637 0.21083894259598604 0.7239972628718503
42, 150, 0.14750273093098704 0.44790145318299934 0.4045958158860136
43, 159, 0.013772137274594143 0.00859709283507566 0.9776307698903302
44, 159, 0.25847804249365797 0.5612002117365819 0.18032174576976018
45, 135, 0.003766936829621703 0.9024086950327279 0.09382436813765038
46, 32, 0.13501714851642133 0.1124204001369213 0.7525624513466573
47, 74, 0.09972629773639373 0.837632864373162 0.06264083789044429
48, 18, 8.709713099297467e-06 0.7193118752516806 0.2806794150352201
49, 105, 3.5286971173942305e-06 0.44681994909509165 0.5531765222077909
50, 90, 8.540502183129739e-06 0.3843789652862981 0.6156124942115188
51, 87, 0.316609748908 0.5451158362775452 0.13827441481445477
